,Category,Rank,Title,Price,Title Length
24,Arts Photography,25,The Legend of Zelda Encyclopedia,23.99,32
25,Arts Photography,26,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,-2.0,86
26,Arts Photography,27,Pusheen the Cat 2018 Wall Calendar,9.41,34
27,Arts Photography,28,"The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation?s Largest Home",18.3,96
28,Arts Photography,29,Hamilton: The Revolution,28.08,24
29,Arts Photography,30,Make Life Your Bitch: Motivational adult coloring book. Turn your stress into success! (Midnight Edition),4.49,105
30,Arts Photography,31,Born a Crime: Stories from a South African Childhood,19.17,52
31,Arts Photography,32,Essential Elements for Strings - Book 1 with EEi: Violin,5.79,56
32,Arts Photography,33,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,16.19,131
33,Arts Photography,34,Swear Word Coloring Book: The Jungle Adult Coloring Book featured with Sweary Words & Animals,4.04,93
34,Arts Photography,35,A Simplified Life: Tactical Tools for Intentional Living,12.21,56
35,Arts Photography,36,How to Draw People (Dover How to Draw),3.56,38
36,Arts Photography,37,The Anatomy Coloring Book,18.49,25
37,Arts Photography,38,The Art of Overwatch Limited Edition,60.0,36
38,Arts Photography,39,Adult All-In-One Course: Lesson-Theory-Technic: Level 1,11.55,55
39,Arts Photography,40,Searching for Dave Chappelle (Kindle Single),2.99,44
40,Arts Photography,41,The Art of Overwatch,31.44,20
41,Arts Photography,42,Easy Origami (Dover Origami Papercraft)over 30 simple projects,2.87,62
42,Arts Photography,43,Teaching Little Fingers to Play: A Book for the Earliest Beginner (John Thompsons Modern Course for The Piano),4.05,110
43,Arts Photography,44,Petty: The Biography,10.43,20
44,Arts Photography,45,"The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation's Largest Home",14.99,96
45,Arts Photography,46,"F*ck, That's Delicious: An Annotated Guide to Eating Well",20.25,57
46,Arts Photography,47,Primer Level - Lesson Book: Piano Adventures,6.79,44
47,Arts Photography,48,"Rolling Stone Tom Petty, 1950-2017: The Ultimate Guide to His Music & Legend",13.49,76
48,Arts Photography,49,Teach Yourself to Play Guitar: A Quick and Easy Introduction for Beginners,6.99,74
49,Arts Photography,50,Black Privilege: Opportunity Comes to Those Who Create It,12.99,57
50,Arts Photography,51,Colorful Blessings: Cards to Color and Share,3.76,44
51,Arts Photography,52,Hand Lettering 101: An Introduction to the Art of Creative Lettering,20.39,68
52,Arts Photography,53,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,9.99,86
53,Arts Photography,54,Everyday Watercolor: Learn to Paint Watercolor in 30 Days,15.63,57
54,Arts Photography,55,Standard Wirebound Manuscript Paper (Green Cover),4.99,49
55,Arts Photography,56,Katie Daisy 2017 ? 2018 On-the-Go Weekly Planner: 17-Month Calendar with Pocket,13.49,79
56,Arts Photography,57,Coloring Book for Adults: Amazing Swirls,5.99,40
57,Arts Photography,58,"Joan Rivers Confidential: The Unseen Scrapbooks, Joke Cards, Personal Files, and Photos of a Very Funny Woman Who Kept Everything",25.47,129
58,Arts Photography,59,Notebook Doodles Super Cute: Coloring & Activity Book (Design Originals),4.97,72
59,Arts Photography,60,Wreck This Journal (Paper bag) Expanded Ed.,8.49,43
60,Arts Photography,61,Level 1 - Lesson Book: Piano Adventures,7.99,39
61,Arts Photography,62,Born to Run,-2.0,11
62,Arts Photography,63,Kaleidoscope Wonders: Color Art for Everyone,5.14,44
63,Arts Photography,64,Prince: A Private View,21.39,22
64,Arts Photography,65,Thomas Kinkade: The Disney Dreams Collection 2018 Wall Calendar,10.39,63
65,Arts Photography,66,Holy Roar: 7 Words That Will Change The Way You Worship,13.28,55
66,Arts Photography,67,Complete Color Coded Flash Cards for All Beginning Music Students,5.99,65
67,Arts Photography,68,ABC Keyboard Stickers,3.06,21
68,Arts Photography,69,The Dot,8.29,7
69,Arts Photography,70,Barnyard Dance! (Boynton on Board),6.27,34
70,Arts Photography,71,Robert's Rules of Order Newly Revised,11.21,37
71,Arts Photography,72,"The Rap Year Book: The Most Important Rap Song From Every Year Since 1979, Discussed, Debated, and Deconstructed",12.88,112
72,Arts Photography,73,The War of Art: Winning the Inner Creative Battle,-2.0,49
73,Arts Photography,74,Adult Coloring Book: Designs,3.59,28
74,Arts Photography,75,Level 2A - Lesson Book: Piano Adventures,6.95,40
75,Arts Photography,76,ENTERTAINMENT WEEKLY The Ultimate Guide to Supernatural,12.59,55
76,Arts Photography,77,Fucking Adorable - Cute Critters with foul Mouths,4.49,49
77,Arts Photography,78,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,1.99,69
78,Arts Photography,79,Art of Coloring: Tim Burton's The Nightmare Before Christmas: 100 Images to Inspire Creativity,12.38,94
79,Arts Photography,80,What Does This Button Do?: An Autobiography,18.89,43
80,Arts Photography,81,Strong Is the New Pretty: A Celebration of Girls Being Themselves,10.0,65
81,Arts Photography,82,365 Cats Page-A-Day Calendar 2018,10.39,33
82,Arts Photography,83,Creative Haven Autumn Scenes Coloring Book (Adult Coloring),5.09,59
83,Arts Photography,84,"Adult Coloring Book: Island Dreams: Vacation, Summer and Beach: Dream and Relax with Gorgeous Illustrations",4.49,107
84,Arts Photography,85,Sticky Fingers: The Life and Times of Jann Wenner and Rolling Stone Magazine,14.99,76
85,Arts Photography,86,The Legend of Zelda: Art & Artifacts,23.99,36
86,Arts Photography,87,It's What I Do: A Photographer's Life of Love and War,1.99,53
87,Arts Photography,88,Critical Failures (Caverns and Creatures Book 1),0.99,48
88,Arts Photography,89,Descendants 2 A Wickedly Cool Coloring Book (Art of Coloring),11.18,61
89,Arts Photography,90,Disney Dreams Collection Thomas Kinkade Studios Coloring Book,10.38,61
90,Arts Photography,91,Adult Coloring Books Good vibes: Don?t give up : Motivate your life with Brilliant designs and great calligraphy words to help melt stress away. (Volume 16),6.16,156
91,Arts Photography,92,Primer Level - Theory Book: Piano Adventures,6.99,44
92,Arts Photography,93,Level 1 - Christmas Book: Piano Adventures,4.95,42
93,Arts Photography,94,Portraits of Courage: A Commander in Chief's Tribute to America's Warriors,23.42,74
94,Arts Photography,95,The Legend of Zelda: Hyrule Historia,22.69,36
95,Arts Photography,96,Overwatch: Anthology Volume 1,15.61,29
96,Arts Photography,97,"52 Lists for Happiness: Weekly Journaling Inspiration for Positivity, Balance, and Joy",11.52,86
97,Arts Photography,98,Fun Home: A Family Tragicomic,9.84,29
98,Arts Photography,99,The Bob's Burgers Burger Book: Real Recipes for Joke Burgers,13.56,60
99,Arts Photography,100,A First Book of Christmas Songs for the Beginning Pianist: with Downloadable MP3s (Dover Classical Music for Keyboard and Piano Four Hands),6.17,139
100,Audible Audiobooks,1,Origin: A Novel,-2.0,15
101,Audible Audiobooks,2,"The Nature Fix: Why Nature Makes Us Happier, Healthier, and More Creative",-2.0,73
102,Audible Audiobooks,3,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,-2.0,86
103,Audible Audiobooks,4,Leonardo da Vinci,-2.0,17
104,Audible Audiobooks,5,It,-2.0,2
105,Audible Audiobooks,6,The Death of the Banker: The Decline and Fall of the Great Financial Dynasties and the Triumph of the Small Investor,-2.0,116
106,Audible Audiobooks,7,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,-2.0,83
107,Audible Audiobooks,8,"The Book of Dust: La Belle Sauvage: Book of Dust, Volume 1",-2.0,58
108,Audible Audiobooks,9,Uncommon Type: Some Stories,-2.0,27
109,Audible Audiobooks,10,Before We Were Yours: A Novel,-2.0,29
110,Audible Audiobooks,11,The Home Front: Life in America During World War II,-2.0,51
111,Audible Audiobooks,12,Ready Player One,-2.0,16
112,Audible Audiobooks,13,What Happened,-2.0,13
113,Audible Audiobooks,14,"Deep Freeze: Virgil Flowers, Book 10",-2.0,36
114,Audible Audiobooks,15,The Secrets She Keeps: A Novel,-2.0,30
115,Audible Audiobooks,16,"Harry Potter and the Sorcerer's Stone, Book 1",-2.0,45
116,Audible Audiobooks,17,Principles: Life and Work,-2.0,25
117,Audible Audiobooks,18,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",-2.0,82
118,Audible Audiobooks,19,Sleeping Beauties: A Novel,-2.0,26
119,Audible Audiobooks,20,Never Let You Go,-2.0,16
120,Audible Audiobooks,21,How to Win Friends & Influence People,-2.0,37
121,Audible Audiobooks,22,"A Game of Thrones: A Song of Ice and Fire, Book 1",-2.0,49
122,Audible Audiobooks,23,Capital Gaines: The Smart Things I've Learned by Doing Stupid Stuff,-2.0,67
123,Audible Audiobooks,24,The Cuban Affair,-2.0,16
124,Audible Audiobooks,25,Turtles All the Way Down,-2.0,24
125,Audible Audiobooks,26,The Snowman,-2.0,11
126,Audible Audiobooks,27,Law School for Everyone,-2.0,23
127,Audible Audiobooks,28,"Harry Potter and the Chamber of Secrets, Book 2",-1.0,47
128,Audible Audiobooks,29,Born a Crime: Stories from a South African Childhood,-2.0,52
129,Audible Audiobooks,30,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True",-2.0,76
130,Audible Audiobooks,31,Unfu*k Yourself,-2.0,15
131,Audible Audiobooks,32,"Harry Potter and the Prisoner of Azkaban, Book 3",-2.0,48
132,Audible Audiobooks,33,I Can't Make This Up: Life Lessons,-2.0,34
133,Audible Audiobooks,34,"Black Ops: Expeditionary Force, Book 4",-2.0,38
134,Audible Audiobooks,35,The Power of Habit: Why We Do What We Do in Life and Business,-2.0,61
135,Audible Audiobooks,36,"A Clash of Kings: A Song of Ice and Fire, Book 2",-2.0,48
136,Audible Audiobooks,37,"Harry Potter and the Goblet of Fire, Book 4",-2.0,43
137,Audible Audiobooks,38,Paradox Bound: A Novel,-2.0,22
138,Audible Audiobooks,39,Grant,-2.0,5
139,Audible Audiobooks,40,A Column of Fire,-2.0,16
140,Audible Audiobooks,41,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,-2.0,75
141,Audible Audiobooks,42,The Rules of Magic,-2.0,18
142,Audible Audiobooks,43,Blood of Others,-2.0,15
143,Audible Audiobooks,44,"Harry Potter and the Order of the Phoenix, Book 5",-2.0,49
144,Audible Audiobooks,45,The Handmaid's Tale: Special Edition,-2.0,36
145,Audible Audiobooks,46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,-2.0,76
146,Audible Audiobooks,47,Astrophysics for People in a Hurry,-2.0,34
147,Audible Audiobooks,48,"Harry Potter and the Half-Blood Prince, Book 6",-2.0,46
148,Audible Audiobooks,49,"A Storm of Swords: A Song of Ice and Fire, Book 3",-2.0,49
149,Audible Audiobooks,50,"Outlander: Outlander, Book 1",-2.0,28
150,Audible Audiobooks,51,The Psychology of Performance: How to Be Your Best in Life,-2.0,58
151,Audible Audiobooks,52,"The Science of Likability: 27 Studies to Master Charisma, Attract Friends, Captivate People, and Take Advantage of Human Psychology",-2.0,131
152,Audible Audiobooks,53,"Harry Potter and the Deathly Hallows, Book 7",-2.0,44
153,Audible Audiobooks,54,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,-2.0,102
154,Audible Audiobooks,55,Deader Homes and Gardens,-2.0,24
155,Audible Audiobooks,56,Silent Child,-2.0,12
156,Audible Audiobooks,57,"All These Worlds: Bobiverse, Book 3",-2.0,35
157,Audible Audiobooks,58,Recovery: Freedom from Our Addictions,-2.0,37
158,Audible Audiobooks,59,Sapiens: A Brief History of Humankind,-2.0,37
159,Audible Audiobooks,60,The Rooster Bar,-2.0,15
160,Audible Audiobooks,61,The Drug Hunters: The Improbable Quest to Discover New Medicines,-2.0,64
161,Audible Audiobooks,62,Extreme Ownership: How U.S. Navy SEALs Lead and Win,-2.0,51
162,Audible Audiobooks,63,Oathbringer,-2.0,11
163,Audible Audiobooks,64,Don't Let Go,-2.0,12
164,Audible Audiobooks,65,Little Fires Everywhere,-2.0,23
165,Audible Audiobooks,66,Lincoln in the Bardo: A Novel,-2.0,29
166,Audible Audiobooks,67,A Plague of Giants,-2.0,18
167,Audible Audiobooks,68,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,-2.0,59
168,Audible Audiobooks,69,The Dark Tower I: The Gunslinger,-2.0,32
169,Audible Audiobooks,70,"We Are Legion (We Are Bob): Bobiverse, Book 1",-2.0,45
170,Audible Audiobooks,71,High Performance Habits: How Extraordinary People Become That Way,-2.0,65
171,Audible Audiobooks,72,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,-2.0,86
172,Audible Audiobooks,73,Scythe,-2.0,6
173,Audible Audiobooks,74,"For We Are Many: Bobiverse, Book 2",-2.0,34
174,Audible Audiobooks,75,A Gentleman in Moscow: A Novel,-2.0,30
175,Audible Audiobooks,76,A Feast for Crows: A Song of Ice and Fire: Book 4,-2.0,49
176,Audible Audiobooks,77,Killing England: The Brutal Struggle for American Independence,-2.0,62
177,Audible Audiobooks,78,"Dungeon Madness: Divine Dungeon Series, Book 2",-2.0,46
178,Audible Audiobooks,79,"The Girl Who Takes an Eye for an Eye: A Lisbeth Salander Novel, Continuing Stieg Larsson's Millennium Series, Book 5",-2.0,116
179,Audible Audiobooks,80,"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",-2.0,125
180,Audible Audiobooks,81,Manhattan Beach: A Novel,-2.0,24
181,Audible Audiobooks,82,Wonder,-2.0,6
182,Audible Audiobooks,83,"Columbus Day: Expeditionary Force, Book 1",-2.0,41
183,Audible Audiobooks,84,The Alchemist: A Fable About Following Your Dream,-2.0,49
184,Audible Audiobooks,85,I Am Watching You,-2.0,17
185,Audible Audiobooks,86,The Five Love Languages: The Secret to Love That Lasts,-2.0,54
186,Audible Audiobooks,87,A Dance with Dragons: A Song of Ice and Fire: Book 5,-2.0,52
187,Audible Audiobooks,88,Murder on the Orient Express: A Hercule Poirot Mystery,-2.0,54
188,Audible Audiobooks,89,Never Split the Difference: Negotiating as if Your Life Depended on It,-2.0,70
189,Audible Audiobooks,90,To Kill a Mockingbird,-2.0,21
190,Audible Audiobooks,91,Shoe Dog: A Memoir by the Creator of Nike,-2.0,41
191,Audible Audiobooks,92,Start with Why: How Great Leaders Inspire Everyone to Take Action,-2.0,65
192,Audible Audiobooks,93,The Stand,-2.0,9
193,Audible Audiobooks,94,The Way of Kings: Book One of The Stormlight Archive,-2.0,52
194,Audible Audiobooks,95,"Al Franken, Giant of the Senate",-2.0,31
195,Audible Audiobooks,96,The Autobiography of Gucci Mane,-2.0,31
196,Audible Audiobooks,97,"SpecOps: Expeditionary Force, Book 2",-2.0,36
197,Audible Audiobooks,98,Blade Runner: Based on the novel Do Androids Dream of Electric Sheep? by Philip K. Dick,-2.0,87
198,Audible Audiobooks,99,From a Certain Point of View (Star Wars),-2.0,40
199,Audible Audiobooks,100,The Power of Now,-2.0,16
200,Biographies,1,Leonardo da Vinci,20.99,17
201,Biographies,2,Yes Please,2.99,10
202,Biographies,3,Leonardo da Vinci,-2.0,17
203,Biographies,4,Leonardo da Vinci,16.99,17
204,Biographies,5,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,-2.0,83
205,Biographies,6,What Happened,-2.0,13
206,Biographies,7,Coming Clean: A Memoir,0.99,22
207,Biographies,8,H Is for Hawk,8.63,13
208,Biographies,9,Grant,23.99,5
209,Biographies,10,The Intimate Life of Alexander Hamilton,1.99,39
210,Biographies,11,The 5 Love Languages: The Secret to Love that Lasts,9.59,51
211,Biographies,12,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True",16.19,76
212,Biographies,13,What Happened,17.99,13
213,Biographies,14,"Mary's Mosaic: The CIA Conspiracy to Murder John F. Kennedy, Mary Pinchot Meyer, and Their Vision for World Peace: Third Edition",1.99,128
214,Biographies,15,Cherry,1.99,6
215,Biographies,16,Born a Crime: Stories from a South African Childhood,-2.0,52
216,Biographies,17,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True",-2.0,76
217,Biographies,18,"Basketball (and Other Things): A Collection of Questions Asked, Answered, Illustrated",11.99,85
218,Biographies,19,I Can't Make This Up: Life Lessons,-2.0,34
219,Biographies,20,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,16.37,83
220,Biographies,21,We Were Eight Years in Power: An American Tragedy,16.8,49
221,Biographies,22,Grant,-2.0,5
222,Biographies,23,"Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",9.99,125
223,Biographies,24,Grant,19.99,5
224,Biographies,25,Switching Time: A Doctor's Harrowing Story of Treating a Woman with 17 Personalities,1.99,84
225,Biographies,26,The Anthology Part 1 Limited Edition,24.99,36
226,Biographies,27,"Rhett & Link's Book of Mythicality: A Field Guide to Curiosity, Creativity, and Tomfoolery",12.6,90
227,Biographies,28,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,15.99,59
228,Biographies,29,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,16.74,59
229,Biographies,30,Recovery: Freedom from Our Addictions,-2.0,37
230,Biographies,31,The Drug Hunters: The Improbable Quest to Discover New Medicines,-2.0,64
231,Biographies,32,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of the Oxford English Dictionary",1.99,105
232,Biographies,33,How Can I Talk If My Lips Don't Move?: Inside My Autistic Mind,1.99,62
233,Biographies,34,What Happened,14.99,13
234,Biographies,35,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,-2.0,59
235,Biographies,36,Martin Luther: The Man Who Rediscovered God and Changed the World,18.0,65
236,Biographies,37,The Autobiography of Gucci Mane,16.2,31
237,Biographies,38,"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",-2.0,125
238,Biographies,39,"Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",14.44,125
239,Biographies,40,Recovery: Freedom from Our Addictions,18.36,37
240,Biographies,41,The TB12 Method: How to Achieve a Lifetime of Sustained Peak Performance,20.48,72
241,Biographies,42,Napoleon: A Life,1.99,16
242,Biographies,43,"Endurance: A Year in Space, A Lifetime of Discovery",17.97,51
243,Biographies,44,Threading My Prayer Rug: One Woman's Journey from Pakistani Muslim to American Muslim,1.99,85
244,Biographies,45,Obama: An Intimate Portrait,28.99,27
245,Biographies,46,Mindhunter: Inside the FBI's Elite Serial Crime Unit,8.54,52
246,Biographies,47,Shoe Dog: A Memoir by the Creator of Nike,-2.0,41
247,Biographies,48,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,14.99,83
248,Biographies,49,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True",12.99,76
249,Biographies,50,"Al Franken, Giant of the Senate",-2.0,31
250,Biographies,51,The Glass Castle: A Memoir,10.29,26
251,Biographies,52,The Autobiography of Gucci Mane,-2.0,31
252,Biographies,53,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",-2.0,62
253,Biographies,54,The World's Largest Man: A Memoir,1.99,33
254,Biographies,55,The Underground Girls of Kabul: In Search of a Hidden Resistance in Afghanistan,1.99,79
255,Biographies,56,Lessons From a Third Grade Dropout,8.02,34
256,Biographies,57,Night (Night),6.47,13
257,Biographies,58,Ben Franklin: The American Dream (The True Story of Benjamin Franklin) (Historical Biographies of Famous People),2.99,112
258,Biographies,59,Man's Search for Meaning,9.97,24
259,Biographies,60,48 Laws of Power,-2.0,16
260,Biographies,61,The Big Book of Serial Killers: 150 Serial Killer Files of the World's Worst Murderers (An Encyclopedia of Serial Killers),1.6,122
261,Biographies,62,Between the World and Me,13.54,24
262,Biographies,63,"Rhett & Link's Book of Mythicality: A Field Guide to Curiosity, Creativity, and Tomfoolery",-2.0,90
263,Biographies,64,Lessons From a Third Grade Dropout,4.99,34
264,Biographies,65,Unbelievable: My Front-Row Seat to the Craziest Campaign in American History,16.19,76
265,Biographies,66,Tears of the Silenced: A True Crime and an American Tragedy; Severe Child Abuse and Leaving the Amish,2.99,101
266,Biographies,67,The Glass Castle: A Memoir,12.99,26
267,Biographies,68,Unbelievable: My Front-Row Seat to the Craziest Campaign in American History,12.99,76
268,Biographies,69,The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine,16.5,93
269,Biographies,70,We Were Eight Years in Power: An American Tragedy,-2.0,49
270,Biographies,71,"Nine Years Among the Indians, 1870-1879: The Story of the Captivity and Life of a Texan Among the Indians",0.99,105
271,Biographies,72,Mindhunter: Inside the FBI's Elite Serial Crime Unit,11.51,52
272,Biographies,73,Sisters First: Stories from Our Wild and Wonderful Life,19.6,55
273,Biographies,74,D DAY Through German Eyes - The Hidden Story of June 6th 1944,2.99,61
274,Biographies,75,The Magnolia Story,13.49,18
275,Biographies,76,"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way",1.99,89
276,Biographies,77,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,14.99,70
277,Biographies,78,We Were Eight Years in Power: An American Tragedy,13.99,49
278,Biographies,79,Black Privilege: Opportunity Comes to Those Who Create It,-2.0,57
279,Biographies,80,Maude,2.99,5
280,Biographies,81,"Al Franken, Giant of the Senate",14.99,31
281,Biographies,82,The Glass Castle: A Memoir,-2.0,26
282,Biographies,83,Sticky Fingers: The Life and Times of Jann Wenner and Rolling Stone Magazine,19.46,76
283,Biographies,84,Why Me?,0.99,7
284,Biographies,85,Unbelievable: My Front-Row Seat to the Craziest Campaign in American History,-2.0,76
285,Biographies,86,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,9.19,62
286,Biographies,87,"Liar, Temptress, Soldier, Spy: Four Women Undercover in the Civil War",1.99,69
287,Biographies,88,J.R.R. Tolkien: A Life Inspired,2.99,31
288,Biographies,89,The Girl with Seven Names: A North Korean Defector?s Story,1.99,58
289,Biographies,90,Born a Crime: Stories from a South African Childhood,14.99,52
290,Biographies,91,Just Mercy: A Story of Justice and Redemption,12.0,45
291,Biographies,92,"Option B: Facing Adversity, Building Resilience, and Finding Joy",15.8,64
292,Biographies,93,"Endurance: A Year in Space, a Lifetime of Discovery",-2.0,51
293,Biographies,94,The 48 Laws of Power,19.63,20
294,Biographies,95,My Mother Was Nuts,0.99,18
295,Biographies,96,Women in Science: 50 Fearless Pioneers Who Changed the World,11.55,60
296,Biographies,97,Time to Be in Earnest,1.99,21
297,Biographies,98,Going Into Town: A Love Letter to New York,17.11,42
298,Biographies,99,Reckless Daughter: A Portrait of Joni Mitchell,20.74,46
299,Biographies,100,Alexander Hamilton,14.23,18
300,CD,1,Leonardo da Vinci,35.71,17
301,CD,2,"Living Language Spanish, Complete Edition",39.99,41
302,CD,3,Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series),26.24,95
303,CD,4,Origin: A Novel,28.99,15
304,CD,5,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,19.85,75
305,CD,6,The Rooster Bar,26.24,15
306,CD,7,Deep Freeze (A Virgil Flowers Novel),23.33,36
307,CD,8,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,19.86,83
308,CD,9,Guided Mindfulness Meditation: A Complete Guided Mindfulness Meditation Program from Jon Kabat-Zinn,17.7,99
309,CD,10,The Cuban Affair,25.89,16
310,CD,11,Wee Sing Bible Songs (Wee Sing) CD and Book Edition,6.29,51
311,CD,12,What Happened,25.94,13
312,CD,13,"Living Language Italian, Complete Edition: Beginner through advanced course, including 3 coursebooks, 9 audio CDs, and free online learning",29.59,139
313,CD,14,Devotions from Priscilla Shirer - Audio CD Volume 1,5.0,51
314,CD,15,The Midnight Line: A Jack Reacher Novel,28.99,39
315,CD,16,The Ultimate Road Trip: Family Vacation Collection (Adventures in Odyssey),14.5,74
316,CD,17,Meditations for Breaking the Habit of Being Yourself: Revised Edition,13.56,69
317,CD,18,Judgment Detox: Release the Beliefs That Hold You Back from Living A Better Life,28.32,80
318,CD,19,Duck on a Bike (Read Along Book & CD),8.49,37
319,CD,20,Grant,47.25,5
320,CD,21,A Column of Fire (Kingsbridge),44.19,30
321,CD,22,Two Kinds of Truth (A Harry Bosch Novel),25.95,40
322,CD,23,The Great Gasbag: An A-to-Z Study Guide to Surviving Trump World,18.44,64
323,CD,24,"The Girl Who Takes an Eye for an Eye: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",30.4,108
324,CD,25,"NIV LIVE, Audio CD: A New Bible Experience",20.5,42
325,CD,26,Rising Strong as a Spiritual Practice,17.44,37
326,CD,27,The End of Alzheimer's: The First Program to Prevent and Reverse Cognitive Decline,26.25,82
327,CD,28,"Living Language German, Complete Edition: Beginner through advanced course, including 3 coursebooks, 9 audio CDs, and free online learning",32.76,138
328,CD,29,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,15.39,76
329,CD,30,Your Present: A Half-Hour of Peace: A Guided Imagery Meditation for Physical & Spiritual Wellness,10.26,97
330,CD,31,It: A Novel,20.95,11
331,CD,32,Stone Soup - Audio (Read Along Book & CD),7.92,41
332,CD,33,"The Secret (Unabridged, 4-CD Set)",9.71,33
333,CD,34,Wee Sing Children's Songs and Fingerplays,8.72,41
334,CD,35,Pimsleur Spanish Conversational Course - Level 1 Lessons 1-16 CD: Learn to Speak and Understand Latin American Spanish with Pimsleur Language Programs (English and Spanish Edition),29.49,180
335,CD,36,In Him Was Life: The Story of the Life and Ministry of Jesus Christ,8.96,67
336,CD,37,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,18.87,59
337,CD,38,Recovery: Freedom from Our Addictions,24.78,37
338,CD,39,Ventures Level 3 Value Pack (Student's Book with Audio CD and Workbook with Audio CD),29.29,85
339,CD,40,Spanish For Dummies Audio Set,9.82,29
340,CD,41,Hardcore Twenty-Four: A Stephanie Plum Novel,21.08,44
341,CD,42,Emotional Intelligence 2.0,17.36,26
